구분,fid,위도,경도,label,예측결과,결빙확률,결빙확률_percent,블랙아이스_발생확률,블랙아이스_발생확률_percent,블랙아이스_예측결과,기온,풍향,풍속,강수량,습도,추정노면온도,교량,터널,ROAD_RANK,Drainage Class,aws_지점,aws_거리_km,alti_mean,terrain_mean,aspect_mean,장소,위치,사고일시,위험도
결빙지역,1,37.57307474,127.0150171,1,1.0,0.825,82.537,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,3.368175287,108,4.342,21.44136205,2.069146622,130.2688464,,,,높음
결빙지역,2,37.56615707,126.9838589,1,1.0,0.904,90.403,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,101.0,2.0,108,1.695,27.13498288,0.443528286,20.31778148,,,,높음
결빙지역,3,37.54183637,127.0289729,1,1.0,0.601,60.105,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,102.0,,108,6.467,11.59746461,3.085920235,275.71031180000006,,,,보통
결빙지역,4,37.54129396,127.0711307,1,1.0,0.831,83.119,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,4.0,108,9.87,13.58625459,0.216848277,221.465691,,,,높음
결빙지역,5,37.56057813,127.06982,1,1.0,0.925,92.511,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,1,101.0,4.0,108,9.247,13.17778759,0.610265694,251.880257,,,,높음
결빙지역,6,37.56692083,127.0627451,1,1.0,0.761,76.114,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,101.0,4.0,108,8.559,12.12557247,1.07245924,117.267376,,,,높음
결빙지역,7,37.65547438,127.0357388,1,1.0,0.642,64.203,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,101.0,4.0,108,11.196,34.58491157,1.7256183999999999,40.95670975,,,,보통
결빙지역,8,37.66122577,127.0581322,1,1.0,0.822,82.244,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,4.0,108,12.88,24.10055984,0.089914268,235.082424,,,,높음
결빙지역,9,37.6517415,127.0554936,1,1.0,0.93,93.025,,,,0.386,179.43,1.884,0.38,64.135,-0.26,1,0,103.0,4.0,108,11.926,21.73700143,2.01646431,246.9022523,,,,높음
결빙지역,10,37.65450733,127.0604443,1,1.0,0.757,75.65,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,102.0,5.0,108,12.446,24.38397058,0.127274045,301.3627605,,,,높음
결빙지역,11,37.62674948,127.0756191,1,1.0,0.662,66.235,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,104.0,2.0,108,11.467,23.75278697,1.67565922,258.2519432,,,,보통
결빙지역,12,37.60806035,126.9201076,1,1.0,0.658,65.84,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,101.0,2.0,108,5.729,26.78938779,0.537393119,202.9063797,,,,보통
결빙지역,13,37.55924816,126.8322517,1,1.0,0.831,83.125,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,4.0,108,11.848,8.98977741,0.079829336,112.1737926,,,,높음
결빙지역,14,37.56073579,126.8196932,1,1.0,0.628,62.824,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,4.0,108,12.932,8.796401955,0.299788191,176.2570717,,,,보통
결빙지역,15,37.48507781,126.9050657,1,1.0,0.706,70.633,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,101.0,,116,6.901,14.51986119,0.885269613,53.80776987,,,,높음
결빙지역,16,37.50199407,126.9807553,1,1.0,0.843,84.263,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,1,103.0,4.0,116,6.596,10.14282591,3.633704916,26.53349548,,,,높음
결빙지역,17,37.46688152,126.9482268,1,1.0,0.647,64.723,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,104.0,3.20043181,116,2.877,58.503652089999996,4.75975368,132.592823,,,,보통
결빙지역,18,37.51622068,127.0196089,1,1.0,0.631,63.064,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,102.0,2.0,108,7.756,24.00431842,1.400101421,287.97927880000003,,,,보통
결빙지역,19,37.49995372,127.0336253,1,1.0,0.573,57.294,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,104.0,3.864845435,116,8.735,31.195648,2.571929561,162.9646724,,,,보통
결빙지역,20,37.48955917,127.031609,1,1.0,0.723,72.277,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,103.0,2.906441166,116,7.82,20.04544951,0.821707606,274.3093794999999,,,,높음
결빙지역,21,37.52466577,127.0521905,1,1.0,0.816,81.647,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,104.0,2.0,108,9.22,20.30403228,2.652659924,283.3781922,,,,높음
결빙지역,22,37.52429587,127.0473716,1,1.0,0.548,54.75,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,103.0,5.02722063,108,8.897,24.62050007,3.45998771,90.05333017,,,,보통
결빙지역,23,37.47836561,127.1142768,1,1.0,0.75,75.033,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,103.0,1.0,116,13.806,17.729440740000005,2.062760618,84.13298177,,,,높음
결빙지역,24,37.43866157,126.6819235,1,1.0,0.743,74.33,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,102.0,2.0,112,6.647,32.62914239,3.57458667,155.0901818,,,,높음
결빙지역,25,37.43944844,126.6726552,1,1.0,0.94,94.038,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,101.0,4.0,112,5.988,16.85310797,1.635056818,325.3208206,,,,높음
결빙지역,26,37.45825453,126.6847075,1,1.0,0.898,89.754,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,103.0,3.681441441,112,5.704,15.46197763,1.40972288,141.282287,,,,높음
결빙지역,27,37.48741092,126.7082406,1,1.0,0.695,69.478,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,102.0,2.0,112,7.433,33.54703903,2.594890594,90.65458679,,,,보통
결빙지역,28,37.47735717,126.6930333,1,1.0,0.899,89.862,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,103.0,2.0,112,6.012,8.5747509,1.505854011,298.7681274,,,,높음
결빙지역,29,37.46767799,126.7050673,1,1.0,0.841,84.142,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,104.0,4.0,112,7.162,13.14197621,1.273683747,230.1554382,,,,높음
결빙지역,30,37.51284773,126.7056863,1,1.0,0.941,94.091,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,103.0,3.0,112,8.128,17.86614747,0.887567952,111.788856,,,,높음
결빙지역,31,35.13848243,126.9218925,1,1.0,0.505,50.513,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,103.0,1.0,156,4.715,51.50856475,0.989121965,286.95192919999994,,,,보통
결빙지역,32,35.16286268,126.8509824,1,1.0,0.889,88.859,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,103.0,1.0,156,3.857,20.42519188,0.419902831,36.54590225,,,,높음
결빙지역,33,35.15157644,126.8511314,1,1.0,0.909,90.871,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,104.0,4.0,156,4.377,19.72441357,0.09656138,249.9210721,,,,높음
결빙지역,34,35.13471964,126.8992818,1,1.0,0.576,57.607,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,102.0,3.796695402,156,4.303,40.91280382,2.228040831,191.4086251,,,,보통
결빙지역,35,35.1722103,126.8846794,1,1.0,0.966,96.63,,,,2.665,126.381,1.219,0.519,73.861,1.981,1,0,102.0,4.0,156,0.634,27.40722114,0.254945522,252.261409,,,,높음
